                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7821,                 2.4065,                 1.9557,                0.52671,                0.37149,                 0.4072,                0.12234,                 2.1958,                 2.4746,                 2.5745,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.6301,                 2.2625,                 1.8505,                0.43262,                0.61905,                0.37177,                0.09589,                 2.2833,                 2.4937,                 2.7659,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.7366,                 2.3344,                 1.9474,                0.36402,                 0.3549,                0.32511,                 0.0932,                  2.392,                  2.666,                 2.8997,               0.000614,               0.000614,               0.000614
                     38,                 1.6522,                 2.1827,                 1.8714,                0.40804,                0.42857,                0.39223,                 0.1207,                 2.3609,                 2.2593,                 2.7861,              0.0005744,              0.0005744,              0.0005744
                     39,                  1.623,                 2.1829,                 1.8072,                0.43027,                0.61905,                 0.4809,                0.16841,                 2.4592,                 2.1605,                 2.7898,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.7819,                 2.1715,                 1.9755,                0.64894,                0.42857,                0.45555,                0.15796,                 2.4415,                 2.2327,                 2.7649,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.8962,                 2.9441,                 2.2996,                0.48084,                0.42857,                0.47537,                0.17684,                 2.5023,                 2.2001,                 2.9388,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.6773,                 2.3314,                 2.0465,                 0.6313,                0.52381,                0.55585,                0.15443,                 2.5182,                 2.2917,                 3.0412,               0.000416,               0.000416,               0.000416
                     43,                 1.6127,                 2.1689,                 2.0737,                0.84117,                0.50531,                0.65483,                0.21203,                  2.325,                 2.0968,                 2.7513,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5908,                 2.1145,                 2.0582,                0.56673,                0.61905,                0.58303,                0.17541,                 2.3579,                 2.0644,                 2.7724,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.5349,                 2.0526,                 2.0002,                0.54972,                0.57143,                0.56541,                0.15222,                 2.3771,                  2.015,                  2.763,              0.0002972,              0.0002972,              0.0002972
                     46,                  1.512,                 1.9153,                 1.9613,                 0.5776,                0.52106,                0.57113,                0.16965,                 2.3104,                 2.0885,                 2.7699,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.5488,                 2.0495,                 1.9715,                0.74329,                0.57143,                0.62325,                0.19644,                 2.1978,                 1.9812,                 2.6242,               0.000218,               0.000218,               0.000218
                     48,                  1.501,                 2.1277,                 1.8986,                0.65621,                0.52381,                0.61544,                0.19873,                 2.2314,                 1.9515,                 2.6598,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4899,                 1.8273,                  1.872,                0.69635,                0.52381,                0.60887,                0.20425,                 2.2061,                 1.9182,                 2.6205,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.5499,                 2.1122,                 1.9699,                0.75124,                0.52381,                0.63781,                 0.2282,                 2.1732,                 1.8419,                 2.5783,               9.92e-05,               9.92e-05,               9.92e-05
